Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Family Responsibility Office,,Employee benefits,,5089024
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Family Responsibility Office,,Transportation and communication,,1183755
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Family Responsibility Office,,Services,,10381558
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Family Responsibility Office,,Supplies and equipment,,121744
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",66291565
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Salaries and wages,,13714910
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Employee benefits,,1889311
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Transportation and communication,,319991
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Services,,8320187
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Supplies and equipment,,18079
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Transfer payments,Child Welfare - Community and Prevention Supports,93210632
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Transfer payments,Child Welfare - Indigenous Community and Prevention Supports,98296230
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Transfer payments,Child Protection Services,1680897997
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Salaries and wages,,104775990
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Employee benefits,,22525090
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Transportation and communication,,1587160
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Services,,16860381
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Supplies and equipment,,4007198
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Transfer payments,Youth Justice Services,126279743
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Salaries and wages,,10074965
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Employee benefits,,1419622
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Transportation and communication,,223417
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Services,,895980
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Supplies and equipment,,12025
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Transfer payments,Supportive Services,1068047838
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Transfer payments,Developmental Services Supportive Living,2261760290
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Salaries and wages,,3893625
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Employee benefits,,537082
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Transportation and communication,,83079
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Services,,1214846
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Supplies and equipment,,2020
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Transfer payments,Supports to Community Living,60580850
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Transfer payments,Supports to Victims of Violence,256880371
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Transfer payments,Indigenous Healing and Wellness Strategy,52544627
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Salaries and wages,,36852652
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Employee benefits,,6404294
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transportation and communication,,423681
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Services,,5479023
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Supplies and equipment,,1169040
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Child and Youth Community Supports,136905416
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Autism,691159843
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Children's Treatment and Rehabilitation Services,357218179
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Complex Special Needs,162109194
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Children's Activity Tax Credit,66570
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Healthy Families,91738928
"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Regional Delivery,Salaries and wages,,50091711
